İL ADI,İLÇE ADI,SECMEN_SAYISI,OY_KULLANAN_SECMEN_SAYISI,GECERLI_OY_TOPLAMI,GECERSIZ_OY_TOPLAMI,ENLEM,BOYLAM,GECERSIZ_OY_ORAN
ÇORUM,ÇORUM MERKEZ-2,24995,23288,22919,369,40.495594177664984,34.87205584771574,1.584507042253521
ÇORUM,İSKİLİP,26736,22916,22115,801,40.77823493421053,34.43590485526317,3.4953744108919533
İSTANBUL-1,ADALAR,12087,10259,9837,422,40.8822404,29.0952696,4.11346135100887
İSTANBUL-1,ATAŞEHİR-1,159459,138594,131242,7352,40.98381775,29.151385625000003,5.304702945293447
İSTANBUL-1,ATAŞEHİR-2,138646,121438,115686,5752,40.99656955555555,29.094200222222224,4.736573395477527
İSTANBUL-1,BEYKOZ,183396,159325,150633,8692,41.13157042222223,29.1448886,5.455515455829279
İSTANBUL-1,KADIKÖY-1,115279,97345,93298,4047,40.994244333333334,29.038028555555556,4.157378396425086
İSTANBUL-1,KADIKÖY-2,133345,116701,112838,3863,40.979902833333334,29.057719333333335,3.3101687217761633
İSTANBUL-1,KADIKÖY-3,147074,129079,124952,4127,40.96852916666666,29.08645783333333,3.1972667901052847
İSTANBUL-1,KARTAL-1,167183,145717,139027,6690,40.897099999999995,29.19228633333334,4.591090950266612
İSTANBUL-1,KARTAL-2,170085,148763,140884,7879,40.912033909090916,29.206677272727276,5.296343848940933
İSTANBUL-1,MALTEPE-1,188893,163532,155846,7686,40.928049,29.141821875,4.699997553995548
İSTANBUL-1,MALTEPE-2,171166,146811,139506,7305,40.948891,29.1362616,4.975785193207594
İSTANBUL-1,PENDİK-1,138359,119374,112204,7170,40.8828,29.240345,6.006333037344815
İSTANBUL-1,PENDİK-2,162750,141123,132281,8842,40.871826375000005,29.288084124999997,6.265456374935339
İSTANBUL-1,PENDİK-3,164487,142182,133621,8561,40.93169894444446,29.30935583333333,6.021155983176492
İSTANBUL-1,SANCAKTEPE-1,112247,99142,93432,5710,41.010581,29.240288181818183,5.759415787456375
İSTANBUL-1,SANCAKTEPE-2,110400,97470,91785,5685,40.984861875,29.220384,5.832563865804863
İSTANBUL-1,SULTANBEYLİ-1,117116,103542,96790,6752,40.954001,29.274415333333334,6.521025284425644
